n_estimators,max_depth,min_samples_split,min_samples_leaf,Accuracy,Precision,Recall,F1 Score,AUC
200,,5,1,0.9582608695652175,0.9453467000835423,0.956140350877193,0.9480567105567106,0.9841559918314303
200,20.0,5,1,0.9582608695652175,0.9453467000835423,0.956140350877193,0.9480567105567106,0.9841559918314303
300,,5,1,0.9582608695652175,0.9453467000835423,0.956140350877193,0.9480567105567106,0.9853433738667656
300,20.0,5,1,0.9582608695652175,0.9453467000835423,0.956140350877193,0.9480567105567106,0.9853433738667656
100,,5,1,0.9583091787439614,0.9543692564745196,0.9450292397660819,0.9471639626051391,0.9831275720164611
100,20.0,5,1,0.9583091787439614,0.9543692564745196,0.9450292397660819,0.9471639626051391,0.9831275720164611
200,10.0,5,2,0.9560869565217391,0.9386800334168756,0.9567251461988304,0.9461769461769463,0.9820129026269377
300,,5,2,0.9560869565217391,0.9386800334168756,0.9567251461988304,0.9461769461769463,0.9814172777623071
300,10.0,5,2,0.9560869565217391,0.9386800334168756,0.9567251461988304,0.9461769461769463,0.9821857885454376
300,20.0,5,2,0.9560869565217391,0.9386800334168756,0.9567251461988304,0.9461769461769463,0.9814172777623071
100,10.0,5,2,0.9560869565217391,0.9435411445279867,0.9511695906432749,0.9455233514057044,0.98158320183174
300,,2,2,0.9538647342995169,0.934001670843776,0.9567251461988304,0.9437745437745437,0.981966103530431
300,10.0,2,2,0.9538647342995169,0.934001670843776,0.9567251461988304,0.9437745437745437,0.9829836938024072
300,20.0,2,2,0.9538647342995169,0.934001670843776,0.9567251461988304,0.9437745437745437,0.981966103530431
200,10.0,2,1,0.953913043478261,0.929904780891623,0.9616959064327487,0.9437618337905282,0.9831998978928803
100,10.0,2,1,0.9539613526570049,0.9301971785524417,0.9616959064327487,0.9437575437862383,0.9839003372629105
300,10.0,2,1,0.953913043478261,0.9379855889724311,0.9511695906432749,0.9429707988531518,0.982593830254649
300,10.0,5,1,0.9516425120772947,0.9226194273562696,0.9675438596491228,0.9427038577038577,0.9843327454438565
200,10.0,5,1,0.9516908212560387,0.9229118250170881,0.9675438596491228,0.9426995676995678,0.9833476438008601
100,10.0,5,1,0.9539130434782608,0.9400835421888052,0.9508771929824562,0.942501155001155,0.9817235991212601
100,,5,2,0.9539130434782608,0.9458950406318827,0.9456140350877194,0.942480364980365,0.9799777220829853
100,20.0,5,2,0.9539130434782608,0.9458950406318827,0.9456140350877194,0.942480364980365,0.9799777220829853
100,,2,2,0.9516908212560388,0.9277132224500646,0.9616959064327485,0.9423364944240123,0.9813851759027198
100,20.0,2,2,0.9516908212560388,0.9277132224500646,0.9616959064327485,0.9423364944240123,0.9813851759027198
100,,2,1,0.9517874396135266,0.9265005930601905,0.9614035087719298,0.941402331431026,0.9840571722516167
100,20.0,2,1,0.9517874396135266,0.9265005930601905,0.9614035087719298,0.941402331431026,0.9840571722516167
200,,2,1,0.9517874396135266,0.9265005930601905,0.9614035087719298,0.941402331431026,0.9835831863609643
200,20.0,2,1,0.9517874396135266,0.9265005930601905,0.9614035087719298,0.941402331431026,0.9835831863609643
200,10.0,2,2,0.9516908212560387,0.9287385129490392,0.9567251461988304,0.9410718410718412,0.9825760388625886
300,,2,1,0.9517391304347826,0.9282779866332499,0.9564327485380117,0.9406838965662496,0.9831929360438132
300,20.0,2,1,0.9517391304347826,0.9282779866332499,0.9564327485380117,0.9406838965662496,0.9831929360438132
100,10.0,2,2,0.9495169082125605,0.9224500645553277,0.9616959064327485,0.9396337917213098,0.9821896562393636
200,,5,2,0.9495169082125605,0.928867176854793,0.9511695906432749,0.9379919479919481,0.980194312942851
200,20.0,5,2,0.9495169082125605,0.928867176854793,0.9511695906432749,0.9379919479919481,0.980194312942851
200,,2,2,0.9473429951690822,0.9112060454165716,0.9672514619883043,0.9370026311489725,0.981583975370525
200,20.0,2,2,0.9473429951690822,0.9112060454165716,0.9672514619883043,0.9370026311489725,0.981583975370525
